id;ELEVATION;NAME;FNAME;STATION_TYP;T;SRA;SCE;SCEa;SSV;P;F;RGLB;X;Y;nut3;nam
B2JEMN01;502;Jemnice;Jemnice;ASS;;SRA;SCE;;;;;;15.59;49.025;Vysocina;Vysocina/B2JEMN01
B2JIHL01;468;Jihlava;Jihlava, HruökovÈ Dvory;AKS3;T;SRA;SCE;;;;;;15.6164;49.4064;Vysocina;Vysocina/B2JIHL01
B2KADO01;672;Kadov;Kadov;ASS;;SRA;SCE;;;;;;16.0781;49.6358;Vysocina;Vysocina/B2KADO01
B2KLOB01;205;Klobouky u Brna;Klobouky u Brna;MSS;;SRA;SCE;;;;;;16.8767;48.9961;Jihomoravsky;Jihomoravsky/B2KLOB01
B2KMYS01;569;KostelnÌ Myslov·;KostelnÌ Myslov·;AMS1;T;SRA;SCE;;SSV;P;F;;15.439167;49.159167;Vysocina;Vysocina/B2KMYS01
B2KNIN01;369;KnÌnice u Boskovic;KnÌnice u Boskovic;MSS;;SRA;SCE;;;;;;16.692288;49.537004;Jihomoravsky;Jihomoravsky/B2KNIN01
B2KOBY01;175;KobylÌ;KobylÌ;AKS1;T;SRA;SCE;;SSV;;F;;16.8814;48.9394;Jihomoravsky;Jihomoravsky/B2KOBY01
B2KORC01;305;KoryËany;KoryËany;MSS;;SRA;SCE;;;;;;17.17;49.1028;Zlinsky;Zlinsky/B2KORC01
B2KRIZ01;615;K¯iû·nky;K¯iû·nky, MoravskÈ K¯iû·nky;MSS;;SRA;SCE;;;;;;16.0667;49.6833;Vysocina;Vysocina/B2KRIZ01
B2KUCH01;334;Kucha¯ovice;Kucha¯ovice;AMS1;T;SRA;SCE;;SSV;P;F;RGLB_D;16.085278;48.881111;Jihomoravsky;Jihomoravsky/B2KUCH01
B2KURI01;291;Ku¯im;Ku¯im;MSS;;SRA;SCE;;;;;;16.5322;49.3006;Jihomoravsky;Jihomoravsky/B2KURI01
B2LANZ01;158;Lanûhot;Lanûhot;MSS;;SRA;SCE;;;;;;16.9575;48.724722;Jihomoravsky;Jihomoravsky/B2LANZ01
B2LAZT01;432;L·z;L·z;MSS;;SRA;SCE;;;;;;15.786675;49.013078;Vysocina;Vysocina/B2LAZT01
B2LEDN01;177;Lednice;Lednice;AKS2;T;SRA;SCE;;SSV;;F;;16.798895;48.792616;Jihomoravsky;Jihomoravsky/B2LEDN01
B2LETO01;334;Letovice;Letovice;MSS;;SRA;SCE;;;;;;16.5767;49.5544;Jihomoravsky;Jihomoravsky/B2LETO01
B2LISE01;688;LÌsek;LÌsek;MSS;;SRA;SCE;;;;;;16.183611;49.583611;Vysocina;Vysocina/B2LISE01
B2LUKO01;403;Lukov;Lukov;MSS;;SRA;SCE;;;;;;15.9077;48.8566;Jihomoravsky;Jihomoravsky/B2LUKO01
B2MBRA01;210;MoravskÈ Br·nice;MoravskÈ Br·nice;MSS;;SRA;SCE;;;;;;16.4494;49.0825;Jihomoravsky;Jihomoravsky/B2MBRA01
B2MBUD01;460;MoravskÈ BudÏjovice;MoravskÈ BudÏjovice;AKS2;T;SRA;SCE;;;;F;;15.8067;49.0611;Vysocina;Vysocina/B2MBUD01
B2MIKU01;224;Mikulov;Mikulov;MSS;;SRA;SCE;;;;;;16.6401;48.801911;Jihomoravsky;Jihomoravsky/B2MIKU01
B2MILE01;242;Mileöovice;Mileöovice;MSS;;SRA;SCE;;;;;;16.853889;49.083889;Jihomoravsky;Jihomoravsky/B2MILE01
B2MIRO01;238;Miroslav;Miroslav;MSS;;SRA;SCE;;;;;;16.3197;48.9442;Jihomoravsky;Jihomoravsky/B2MIRO01
B2MKRU01;255;Moravsk˝ Krumlov;Moravsk˝ Krumlov;MSS;;SRA;SCE;;;;;;16.306463;49.039908;Jihomoravsky;Jihomoravsky/B2MKRU01
B2NAMO01;390;N·mÏöù nad Oslavou;N·mÏöù nad Oslavou;ASS;;SRA;SCE;;;;;;16.15;49.2167;Vysocina;Vysocina/B2NAMO01
B2NEDV01;722;NedvÏzÌ;NedvÏzÌ;AKS1;T;SRA;SCE;;SSV;;F;;16.3097;49.6344;Pardubicky;Pardubicky/B2NEDV01
B2NEMO01;283;Nemochovice;Nemochovice;AKS2;T;SRA;SCE;;;;F;;17.1361;49.1808;Jihomoravsky;Jihomoravsky/B2NEMO01
B2NMES01;601;NovÈ MÏsto na MoravÏ;NovÈ MÏsto na MoravÏ;ASS;;SRA;SCE;;;;;;16.0689;49.5581;Vysocina;Vysocina/B2NMES01
B2NOVE01;422;Nov· Ves;Nov· Ves;ASS;;SRA;SCE;;;;;;15.7869;49.2547;Vysocina;Vysocina/B2NOVE01
B2OBOR01;425;Obora;Obora;ASS;;SRA;SCE;;;;;;16.603611;49.451667;Jihomoravsky;Jihomoravsky/B2OBOR01
B2OLES01;535;Oleönice;Oleönice;ASS;;SRA;SCE;;;;;;16.4231;49.555;Jihomoravsky;Jihomoravsky/B2OLES01
B2PAVL01;559;PavlÌnov;PavlÌnov;MSS;;SRA;SCE;;;;;;15.8772;49.3508;Vysocina;Vysocina/B2PAVL01
B2POHO01;180;Poho¯elice;Poho¯elice;AKS1;T;SRA;SCE;;SSV;;F;;16.5283;48.9844;Jihomoravsky;Jihomoravsky/B2POHO01
B2POLI01;552;PoliËka;PoliËka;ASS;;SRA;SCE;;;;;;16.269167;49.716111;Pardubicky;Pardubicky/B2POLI01
B2RADO01;512;RadostÌn;RadostÌn;ASS;;SRA;SCE;;;;;;15.9675;49.460278;Vysocina;Vysocina/B2RADO01
B2ROZS01;571;Rozst·nÌ;Rozst·nÌ;MSS;;SRA;SCE;;;;;;16.835258;49.398026;Olomoucky;Olomoucky/B2ROZS01
